headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,distinguish,"...を区別する / 〈物事が〉…の特徴である / 《通例canと共に》…をはっきり見る,聞く / 〈自分〉を目立たせる",/dɪˈstɪŋɡwɪʃ/,12390,It is important to distinguish between right and wrong.,正しいことと間違ったことを区別することは重要です。,2997728
,,,massive,"大きくて重い / 大規模な, 膨大な",/mæsɪv/,26033,The elephant is massive.,象は大きいです。,3001249
,,,greet,〈他〉〈人など〉にあいさつする / 《喜び・親しみ・悪意などをもって》…を迎える《with ...》,/ɡriːt/,18560,I greet my friends every morning.,私は毎朝友達に挨拶をします。,2999322
,,,period,"〈C〉(あることが続く) 期間 / (歴史的な) 時代 / (試合の)一区切り / 《おもに米》ピリオド, 終止符",/ˈpɪəriəd/,31326,The period of the dinosaurs lasted [[up to]] 65 million years.,"恐竜の時代は6,500万年まで続いたと言われています。",1623652
,,,crucial,重要な / 決定的な / 必須の / 不可欠な,/ˈkruːʃəl/,10231,This information is crucial for the success of the project.,この情報はプロジェクトの成功に重要です。,2997166
,,,transition,"〈U/C〉《...から...への》移行, 変遷《from ... to ...》 / 《...から...への》過渡期《from ... to ...》",/trænˈzɪʃən/,44018,The transition from summer to autumn is always beautiful.,夏から秋への移り変わりはいつも美しいです。,3005913
,,,competitive,"競争の, 競争による / 競争心の強い",/kəmˈpɛtətɪv/,8654,She is very competitive and always wants to win.,彼女はとても競争心が強く、いつも勝ちたがっています。,3009700
,,,responsibility,"〈U〉責任があること / 〈C〉責任を負うべきこと, 責務",/rɪˌspɑːnsəˈbɪləti/,35836,Taking responsibility for your actions is important.,自分の行動に責任を持つことは重要です。,3003804
,,,discussion,"〈U〉《...についての》議論, 討論, 検討《about, on ...》",/dɪˈskʌʃən/,12138,The discussion about the new project lasted for hours.,新しいプロジェクトについての議論は数時間続きました。,2997672
,,,democratic,民主主義の / (人・態度などが)民主的な,/dɪˈmɑːkrətɪk/,11312,The country has a strong democratic tradition.,その国は強い民主主義の伝統を持っています。,2997436
,,,stick,"〈C〉棒, 棒切れ,枝 / (歩行用)ステッキ,杖  / 《~ of ...》 棒状《の...》 /《話》処罰,せっかん",/stɪk/,40982,I found a stick on the ground.,地面にあった棒を見つけました。,3005100
,,,such,"《特定の種類・程度を示して》こんな,あんな / 《類似の種類・程度を示して》そんな,そのような / 《名詞の前にのみ用いて》とても / 《補語にのみ用いて》そのような",/sʌtʃ/,41620,I have never seen such a beautiful sunset before.,私はこんな美しい夕日を見たことがありません。,3005256
,,,indication,"〈U〉《...を》指摘すること, 表示すること《of ...》 / 〈U/C〉表れ, 徴候, 兆し",/ˌɪndɪˈkeɪʃən/,21598,The doctor gave me an indication of how long my recovery would take.,医者は私に回復にどれくらい時間がかかるかの指摘をしました。,3000128
,,,fund,"〈C〉《特定の目的のための》資金, 基金《for ...》 / 《a ~》(すぐに役立つ知職などの)蓄え,蓄積",/fʌnd/,17214,I need to raise funds for my new business venture.,新しいビジネスベンチャーのために資金を集める必要があります。,2998982
,,,statement,声明；供述,/ˈsteɪtmənt/,40806,He made a statement to the police about the incident.,彼は事件について警察に供述した。,3005051
,,,morning,"〈C〉〈U〉朝,午前(午前0時または夜明けから正午まで)  / 〈U〉《the~》(物事の)始まり,夜明け,黎明(れいめい)《+of+名》  / 《名詞の前にのみ用いて》朝の",/'mɔːrnɪŋ/,27532,The morning sun was so beautiful.,朝日が美しかった。,1623586
,,,rural,"田舎の, 農村の / 田舎風の / 農業の",/ˈrʊərəl/,36748,I grew up in a rural area surrounded by fields and farms.,私は田舎の畑や農場に囲まれた地域で育ちました。,3004019
,,,folk,〈C〉《米・しばしば複数形で》 人々 / 《話》 《one's ~》 家族 / 《古》民族 / 《話》《呼び掛けに用いて》皆さん,/fəʊk/,16396,"Now folks, let's go on.",さあ、みんな、先へ進もう。,128708
,,,hundred,"〈C〉(数の) 100 / 《複数形で》何百《もの…》, 多数《の…》 《of ...》 / 《米話》100ドル /《英話》100ポンド / 【形】100の / 《a ~》数多くの",/ˈhʌn.dɹəd/,20646,There are a hundred people in the room.,部屋には百人います。,2999887
,,,inform,"《...を》〈人〉に知らせる《of ...》 / 《...の》情報を提供する, 《...を》密告する《on, upon, against ...》",/ɪnˈfɔrm/,21844,I will inform him of the meeting.,私は彼に会議のことを知らせます。,3000185
,,,otherwise,"ほかの点では / そうでなければ, さもないと / 別の方法で",/ˈʌðɚˌwaɪz/,29888,"I don't like spicy food, but otherwise, I enjoy trying new dishes.",辛い食べ物は好きではありませんが、それを除けば新しい料理を試すのが楽しいです。,3002291
,,,judgment,"【名/U】判断力 / 【名/U/C】判断, 判定 / 判決 / 【名/C】《判断に基づく》 見解 《on ...》　裁判",/ˈdʒʌdʒ.mənt/,23093,,,
,,,department,"〈C〉(政府・会社・学校などの組織の) 部門 / 《英》(官庁の)局 / (フランスなどの) 県,州",/dɪˈpɑːrtmənt/,11414,The marketing department is responsible for promoting the company's products.,マーケティング部門は、会社の製品の宣伝を担当しています。,2997471
,,,external,"外側の, 外部の / (作用・動作などが) 外側からの",/ɪkˈstɜːrnəl/,14912,The external walls of the building are made of glass.,建物の外壁はガラス製です。,2998396
,,,maintain,"〈ある状催・動作〉を維持する, を続ける / を主張する / 〈家族など〉を扶養する",/mənˈteɪn/,25565,It is important to maintain a healthy lifestyle.,健康な生活を維持することは重要です。,3001138
,,,photograph,写真を撮る,/fəˈtɑːɡrɑːf/,31696,I love to photograph beautiful landscapes.,私は美しい風景を撮影するのが大好きです。,3002737
,,,section,"〈C〉(全体を構成する個々の) 部分,部品 / (内部構造を示す)断面図 / 〈U〉切断すること /",/ˈsɛkʃən/,37821,This book is divided into 10 sections.,この本は１０つのセクションに分かれている。,1623742
,,,nevertheless,それでもやはり / それにもかかわらず,/nɛvərðəˈlɛs/,28453,"She was tired; nevertheless, she continued working.",彼女は疲れていた。それにもかかわらず、彼女は仕事を続けた。,1628002
,,,remote,遠い、遠隔の、離れた、かすかな、わずかな,/rɪˈmoʊt/,35574,The lighthouse was just a remote speck in the distance.,灯台は遠く離れた小さな点にしか見えませんでした。,2995398
,,,trillion,【名/C】(アメリカ・フランスでは) 兆 / (イギリス・ドイツでは)100京 / 《くだけて》無数,/'trɪljən/,44247,The company's revenue reached a trillion dollars last year.,会社の収益は昨年、1兆ドルに達しました。,3005966
